# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 05-12-2010 12:45:41                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
    539038,         0,DERRA TM                      ,05-12-2010 12:00:00,      .427,L,Below Minor,Steady        ,        3.8,                                        ,B,  151.2556,  -25.6667                                                                                                                                                                                                                   
    539039,         0,YARROL TM                     ,05-12-2010 08:00:00,      1.08,L,Below Minor,Steady        ,           ,                                        , ,  151.3464,  -24.9939                                                                                                                                                                                                                   
    539040,         0,MONTO TM                      ,05-12-2010 12:00:00,      .506,L,Unknown    ,Steady        ,           ,                                        , ,  151.1075,  -24.8683                                                                                                                                                                                                                   
    539042,         0,BROVINIA TM                   ,05-12-2010 08:10:00,     3.562,L,Below Minor,Falling       ,           ,                                        , ,  151.0167,  -25.9333                                                                                                                                                                                                                   
    539043,         0,WOODLEIGH TM                  ,05-12-2010 11:00:00,     7.084,L,Below Minor,Rising        ,           ,                                        , ,  149.9667,  -24.8333                                                                                                                                                                                                                   
    539045,         0,CORINGA TM                    ,05-12-2010 11:00:00,     1.776,L,Below Minor,Steady        ,           ,                                        , ,  151.9869,  -25.3825                                                                                                                                                                                                                   
    539046,         0,GIN GIN CREEK TM              ,05-12-2010 11:00:00,      .729,L,Below Minor,Steady        ,           ,                                        , ,  151.8833,  -24.9667                                                                                                                                                                                                                   
    539047,         0,BUCCA WEIR HW TM              ,05-12-2010 12:00:00,    16.485,L,Below Minor,Steady        ,       16.2,                                        ,W,  152.0725,  -24.8594                                                                                                                                                                                                                   
    539048,         0,SPRINGFIELD TM                ,05-12-2010 10:00:00,     2.308,L,Below Minor,Falling       ,           ,                                        , ,  151.5833,    -24.75                                                                                                                                                                                                                   
    539049,         0,WHARTON WEIR TM               ,05-12-2010 06:00:00,    93.016,L,Below Minor,Steady        ,           ,                                        , ,  151.5833,  -25.6167                                                                                                                                                                                                                   
    539050,         0,FRED HAIGH DAM HW TM          ,05-12-2010 06:00:00,    -1.767,L,Below Minor,Steady        ,          0,Spillway                                ,S,    151.85,  -24.8667                                                                                                                                                                                                                   
    539051,         0,WURUMA DAM HW TM              ,05-12-2010 06:00:00,   -15.039,L,Below Minor,Steady        ,          0,Spillway                                ,S,  150.9833,     -25.2                                                                                                                                                                                                                   
    539055,         0,REID CREEK TM                 ,05-12-2010 08:00:00,      .869,L,Unknown    ,Steady        ,           ,                                        , ,  151.5167,  -25.2667                                                                                                                                                                                                                   
    539056,         0,KENBULA TM                    ,05-12-2010 11:00:00,      .967,L,Unknown    ,Steady        ,           ,                                        , ,    150.37,    -23.66                                                                                                                                                                                                                   
    539057,         0,RANNES TM                     ,05-12-2010 11:00:00,     5.131,L,Below Minor,Steady        ,        2.5,Rannes Homestead Causeway               ,C,  150.1167,     -24.1                                                                                                                                                                                                                   
    539058,         0,WOONGARRA P/S TM              ,05-12-2010 12:00:00,     4.033,L,Below Minor,Steady        ,           ,                                        , ,  152.2531,  -24.9317                                                                                                                                                                                                                   
    539059,         0,ELLIOTT TM                    ,05-12-2010 11:00:00,      1.03,L,Below Minor,Steady        ,        7.8,Goodwood Rd                             ,B,  152.3833,  -24.9833                                                                                                                                                                                                                   
    539060,         0,DR MAYS CROSSING TM           ,05-12-2010 08:00:00,     1.714,L,Below Minor,Rising        ,          4,                                        ,C,  152.4167,  -24.9667                                                                                                                                                                                                                   
    539061,         0,BURRUM HIGHWAY TM             ,05-12-2010 11:30:00,     4.469,L,Below Minor,Falling       ,        9.5,Isis Highway Br 37.025 m AHD            ,B,  152.2397,  -25.0881                                                                                                                                                                                                                   
    539062,         0,KINGSBOROUGH TM               ,05-12-2010 11:00:00,     1.472,L,Below Minor,Falling       ,           ,                                        , ,  150.3833,  -23.9667                                                                                                                                                                                                                   
    539063,         0,KILLARNEY TM                  ,05-12-2010 11:00:00,     1.443,L,Unknown    ,Steady        ,           ,                                        , ,  152.3319,  -28.3544                                                                                                                                                                                                                   
    539065,         0,ISLA-DELUSION XING TM         ,05-12-2010 12:00:00,     9.037,L,Moderate   ,Steady        ,           ,                                        , ,  150.1972,  -25.1883                                                                                                                                                                                                                   
    539068,         0,GOOVIGEN TM                   ,05-12-2010 01:00:00,      .854,L,Below Minor,Steady        ,           ,                                        , ,  150.2869,  -24.1081                                                                                                                                                                                                                   
    539069,         0,COORANGA TM                   ,05-12-2010 11:00:00,     1.481,L,Below Minor,Steady        ,           ,                                        , ,  151.3294,  -25.7881                                                                                                                                                                                                                   
    539070,         0,GYRANDA WEIR TM               ,05-12-2010 11:15:00,      2.13,L,Moderate   ,Rising        ,           ,                                        , ,  150.1817,  -25.2842                                                                                                                                                                                                                   
    539072,         0,CASTLEHOPE TM                 ,05-12-2010 11:00:00,     2.219,L,Unknown    ,Falling       ,           ,                                        , ,  151.0911,  -23.9847                                                                                                                                                                                                                   
    539073,         0,SILVERLEAF WEIR TW TM         ,05-12-2010 06:00:00,     1.098,L,Below Minor,Steady        ,           ,                                        , ,     151.8,  -26.1667                                                                                                                                                                                                                   
    539074,         0,WURUMA DAM TW TM              ,05-12-2010 06:00:00,      .335,L,Below Minor,Steady        ,           ,                                        , ,  150.9911,  -25.2017                                                                                                                                                                                                                   
    539075,         0,PORT ALMA TIDE TM             ,05-12-2010 11:50:00,     3.691,L,Unknown    ,Falling       ,           ,                                        , ,  150.8786,  -23.5856                                                                                                                                                                                                                   
    539076,         0,BURNETT HEADS TIDE TM         ,05-12-2010 11:50:00,     1.623,L,Unknown    ,Falling       ,           ,                                        , ,  152.4006,  -24.7611                                                                                                                                                                                                                   
    539077,         0,SILVERLEAF WEIR HW TM         ,05-12-2010 06:00:00,      .049,L,Below Minor,Steady        ,          0,                                        ,W,     151.8,  -26.1667                                                                                                                                                                                                                   
    539078,         0,STANWELL TM                   ,05-12-2010 11:47:00,      1.34,L,Below Minor,Falling       ,           ,                                        , ,   150.335,   -23.475                                                                                                                                                                                                                   
    539079,         0,BARALABA TW TM                ,05-12-2010 12:00:00,     7.825,L,Moderate   ,Rising        ,        4.6,Dawson River Bridge                     ,B,  149.8136,  -24.1733                                                                                                                                                                                                                   
    539080,         0,BARALABA HW TM                ,05-12-2010 12:00:00,     1.612,L,Moderate   ,Steady        ,          0,                                        ,W,  149.8136,  -24.1733                                                                                                                                                                                                                   
    539081,         0,MOURA WEIR TM                 ,05-12-2010 12:00:00,      .772,L,Below Minor,Steady        ,          0,                                        ,W,  149.9014,  -24.5889                                                                                                                                                                                                                   
    539084,         0,MILTON TM                     ,05-12-2010 11:00:00,     2.002,L,Unknown    ,Steady        ,           ,                                        , ,  151.2833,  -24.2833                                                                                                                                                                                                                   
    539085,         0,MIMDALE TM                    ,05-12-2010 11:00:00,     6.297,L,Below Minor,Rising        ,           ,Lowmead Bridge                          ,B,  151.7356,   -24.515                                                                                                                                                                                                                   
    539086,         0,AWOONGA DAM HW TM             ,05-12-2010 06:00:00,    -1.033,L,Unknown    ,Rising        ,          0,                                        ,S,  151.3206,  -24.0717                                                                                                                                                                                                                   
    539087,         0,MARLUA TM                     ,05-12-2010 06:00:00,     1.548,L,Unknown    ,Falling       ,           ,                                        , ,  151.1569,   -24.195                                                                                                                                                                                                                   
    539088,         0,DAKIEL TM                     ,05-12-2010 08:00:00,     1.276,L,Unknown    ,Falling       ,           ,                                        , ,  151.2586,  -24.7472                                                                                                                                                                                                                   
    539089,         0,WALLA WEIR HW TM              ,05-12-2010 06:00:00,    19.366,L,Below Minor,Falling       ,         19,                                        ,W,  152.0978,  -25.0528                                                                                                                                                                                                                   
    539090,         0,KNEBWORTH TM                  ,05-12-2010 12:00:00,     7.252,L,Minor      ,Steady        ,           ,                                        , ,  149.8122,  -23.8628                                                                                                                                                                                                                   
    539091,         0,GOOBURRUM P/S TM              ,05-12-2010 06:00:00,     2.818,L,Below Minor,Steady        ,           ,                                        , ,  152.1633,  -24.7425                                                                                                                                                                                                                   
    539092,         0,CANIA DAM HW TM               ,05-12-2010 12:00:00,    -13.05,L,Below Minor,Steady        ,          0,                                        ,S,  150.9833,  -24.6544                                                                                                                                                                                                                   
    539094,         0,MT RAWDON TM                  ,05-12-2010 06:00:00,      .621,L,Unknown    ,Steady        ,           ,                                        , ,  151.7964,  -25.2358                                                                                                                                                                                                                   
    539095,         0,BINDAREE TM                   ,05-12-2010 11:00:00,     8.998,L,Unknown    ,Rising        ,           ,                                        , ,  149.8094,  -24.3575                                                                                                                                                                                                                   
    539096,         0,WALLA WEIR TW TM              ,05-12-2010 06:00:00,     2.181,L,Unknown    ,Steady        ,           ,                                        , ,  152.1014,  -25.0486                                                                                                                                                                                                                   
    539100,         0,RED HILL TM                   ,05-12-2010 11:00:00,       .83,L,Unknown    ,Steady        ,           ,                                        , ,  150.4236,  -24.4506                                                                                                                                                                                                                   
    539101,         0,RAGLAN CK TM                  ,05-12-2010 11:00:00,     1.543,L,Unknown    ,Falling       ,           ,                                        , ,  150.8194,  -23.8208                                                                                                                                                                                                                   
    539102,         0,DAIRY CK TM                   ,05-12-2010 11:00:00,         0,L,Unknown    ,Steady        ,           ,                                        , ,  150.3875,  -23.6325                                                                                                                                                                                                                   
    539103,         0,LEESONS TM                    ,05-12-2010 11:00:00,     4.059,L,Unknown    ,Rising        ,           ,                                        , ,  152.3906,   -25.155                                                                                                                                                                                                                   
    539105,         0,FOLDING HILLS TM              ,05-12-2010 11:00:00,      .558,L,Unknown    ,Steady        ,           ,                                        , ,  150.6242,  -24.5756                                                                                                                                                                                                                   
    539107,         0,CRAIGLANDS TM                 ,05-12-2010 10:00:00,      .905,L,Unknown    ,Steady        ,           ,                                        , ,  150.5247,    -24.15                                                                                                                                                                                                                   
    539108,         0,PARADISE DAM HW TM            ,05-12-2010 06:00:00,    67.581,L,Below Minor,Steady        ,       67.6,Paradise Dam spillway                   ,S,  151.9194,  -25.3511                                                                                                                                                                                                                   
    540025,         0,WEST BARAMBAH TM              ,05-12-2010 11:00:00,     1.146,L,Unknown    ,Steady        ,           ,                                        , ,  152.0642,  -26.3192                                                                                                                                                                                                                   
    540028,         0,LAKE MANCHESTER ALERT         ,05-12-2010 10:57:30,     50.49,L,Unknown    ,Steady        ,       50.9,                                        ,S,    152.75,    -27.49                                                                                                                                                                                                                   
    540036,         0,URANGAN TIDE TM               ,05-12-2010 11:50:00,     2.098,L,Unknown    ,Falling       ,           ,                                        , ,  152.9106,  -25.2961                                                                                                                                                                                                                   
    540037,         0,MOOLOOLABA TIDE TM            ,05-12-2010 11:50:00,      .838,L,Unknown    ,Falling       ,           ,                                        , ,  153.1331,  -26.6842                                                                                                                                                                                                                   
    540039,         0,THE BARRAGE TM                ,05-12-2010 12:00:00,     3.226,L,Below Minor,Steady        ,           ,                                        , ,  152.6236,  -25.5906                                                                                                                                                                                                                   
    540040,         0,LINVILLE TM                   ,05-12-2010 08:00:00,      .657,L,Below Minor,Steady        ,           ,                                        , ,  152.2731,  -26.8058                                                                                                                                                                                                                   
    540041,         0,BROOKLANDS TM                 ,05-12-2010 11:14:00,     1.301,L,Below Minor,Steady        ,           ,                                        , ,  151.8167,  -26.7333                                                                                                                                                                                                                   
    540042,         0,GLENMORE TM                   ,05-12-2010 11:31:00,      .721,L,Below Minor,Steady        ,           ,                                        , ,  152.0542,  -26.4714                                                                                                                                                                                                                   
    540043,         0,BROOYAR TM                    ,05-12-2010 10:00:00,     1.023,L,Below Minor,Steady        ,           ,                                        , ,  152.4108,  -26.0067                                                                                                                                                                                                                   
    540044,         0,COOYAR CREEK TM               ,05-12-2010 10:00:00,     1.013,L,Below Minor,Steady        ,           ,                                        , ,  152.1367,  -26.7417                                                                                                                                                                                                                   
    540045,         0,BOAT MOUNTAIN TM              ,05-12-2010 11:00:00,      .415,L,Below Minor,Steady        ,           ,                                        , ,  152.2833,  -26.9806                                                                                                                                                                                                                   
    540046,         0,PEACHESTER WRC TM             ,05-12-2010 08:00:00,      2.12,L,Below Minor,Falling       ,           ,                                        , ,  152.8406,    -26.84                                                                                                                                                                                                                   
    540047,         0,SHOWGROUND WEIR HW TM         ,05-12-2010 08:20:00,     7.108,L,Moderate   ,Falling       ,       4.15,                                        ,W,  152.3833,  -27.6386                                                                                                                                                                                                                   
    540050,         0,WARREGO HIGHWAY TM            ,05-12-2010 11:00:00,     5.116,L,Minor      ,Rising        ,           ,Jack Martin Bridge - Raymonts Crossing  , ,  152.3875,  -27.5542                                                                                                                                                                                                                   
    540051,         0,O'REILLY'S WEIR TM            ,05-12-2010 11:00:00,     7.911,L,Below Minor,Steady        ,       7.66,                                        ,W,  152.5903,  -27.4183                                                                                                                                                                                                                   
    540052,         0,EUMUNDI TM                    ,05-12-2010 11:26:00,     2.265,L,Below Minor,Steady        ,           ,                                        , ,  152.9594,  -26.4958                                                                                                                                                                                                                   
    540053,         0,BJELKE PETERSEN DAM HWTM      ,05-12-2010 06:00:00,     -.861,L,Below Minor,Steady        ,          0,Spillway                                ,S,  151.9781,  -26.3053                                                                                                                                                                                                                   
    540054,         0,LITTLE NERANG DAM ALERT       ,05-12-2010 12:43:24,        .8,L,Below Minor,Rising        ,          0,Spillway Level                          ,S,   153.285,  -28.1467                                                                                                                                                                                                                   
    540055,         0,PROSTON TM                    ,05-12-2010 11:00:00,     1.541,L,Below Minor,Steady        ,           ,                                        , ,   151.545,  -26.1833                                                                                                                                                                                                                   
    540056,         0,CARTERS TM                    ,05-12-2010 08:00:00,     1.035,L,Below Minor,Falling       ,           ,                                        , ,     151.3,    -26.25                                                                                                                                                                                                                   
    540064,         0,GRANDCHESTER ALERT            ,05-12-2010 11:39:44,       .58,L,Below Minor,Falling       ,        4.6,Grandchester to Mt Mort Road bridge.    ,B,  152.4611,  -27.6631                                                                                                                                                                                                                   
    540066,         0,SAVAGES CROSSING TM           ,05-12-2010 08:00:00,     1.383,L,Below Minor,Steady        ,        2.6,                                        ,B,  152.6683,    -27.44                                                                                                                                                                                                                   
    540067,         0,TENTHILL TM                   ,05-12-2010 11:00:00,     2.547,L,Below Minor,Falling       ,           ,                                        , ,  152.2133,  -27.6375                                                                                                                                                                                                                   
    540068,         0,ADAMS BRIDGE TM               ,05-12-2010 11:00:00,     1.918,L,Below Minor,Falling       ,           ,                                        , ,  152.5097,  -27.8311                                                                                                                                                                                                                   
    540070,         0,NICOLLS BRIDGE ALERT          ,05-12-2010 12:01:27,      1.18,L,Unknown    ,Steady        ,           ,                                        , ,  153.4239,  -28.1792                                                                                                                                                                                                                   
    540071,         0,CORINDA HIGH ALERT            ,05-12-2010 12:38:23,      1.26,L,Below Minor,Falling       ,           ,                                        , ,  152.9867,  -27.5483                                                                                                                                                                                                                   
    540073,         0,BENOBBLE TM                   ,05-12-2010 08:10:00,      .781,L,Below Minor,Falling       ,        9.1,Benobble Br (Beaudesert-Nerang Rd)      ,B,  153.1575,  -27.9978                                                                                                                                                                                                                   
    540074,         0,DIECKMANS BRIDGE TM           ,05-12-2010 11:00:00,      .632,L,Below Minor,Steady        ,       4.65,Dieckmann Br (Running Creek Rd)         ,B,  152.8908,  -28.2453                                                                                                                                                                                                                   
    540075,         0,ETTIEWYN TM                   ,05-12-2010 11:00:00,     1.243,L,Below Minor,Steady        ,           ,                                        , ,    151.85,     -25.9                                                                                                                                                                                                                   
    540076,         0,BRUCE HIGHWAY TM              ,05-12-2010 11:00:00,     1.014,L,Below Minor,Falling       ,          8,Bruce Highway Br Rl 11.755 m AHD        ,B,  152.3667,  -25.2667                                                                                                                                                                                                                   
    540077,         0,FICKS CROSSING TM             ,05-12-2010 06:00:00,     1.269,L,Below Minor,Steady        ,        7.5,John Krebs Bridge (Murgon-Wondai Road)  ,B,  151.8833,  -26.2667                                                                                                                                                                                                                   
    540078,         0,MARSDEN (FIRST AVE) AL        ,05-12-2010 12:31:59,      7.42,L,Below Minor,Falling       ,           ,                                        , ,  153.1031,  -27.6686                                                                                                                                                                                                                   
    540079,         0,SLACKS CK(RESERVE PK) AL      ,05-12-2010 12:43:14,      6.45,L,Below Minor,Falling       ,           ,                                        , ,  153.1253,  -27.6342                                                                                                                                                                                                                   
    540081,         0,WALLOON TM                    ,05-12-2010 11:30:00,     3.137,L,Below Minor,Rising        ,           ,                                        , ,  152.6928,  -27.6033                                                                                                                                                                                                                   
    540082,         0,BEAUDESERT P/S TM             ,05-12-2010 08:00:00,      .486,L,Below Minor,Steady        ,           ,                                        , ,  153.0667,       -28                                                                                                                                                                                                                   
    540083,         0,DIDDILLIBAH ALERT             ,05-12-2010 12:43:02,      3.06,L,Minor      ,Rising        ,           ,                                        , ,  152.9944,  -26.6406                                                                                                                                                                                                                   
    540087,         0,KIELS MOUNTAIN ALERT          ,05-12-2010 10:39:53,      1.05,L,Below Minor,Rising        ,           ,                                        , ,  153.0189,  -26.6619                                                                                                                                                                                                                   
    540088,         0,WARANA BRIDGE ALERT           ,05-12-2010 12:44:36,      1.94,L,Below Minor,Rising        ,           ,                                        , ,  152.9583,  -26.6225                                                                                                                                                                                                                   
    540089,         0,KIAMBA ALERT                  ,05-12-2010 12:44:04,      1.63,L,Below Minor,Rising        ,           ,                                        , ,  152.9042,  -26.5897                                                                                                                                                                                                                   
    540091,         0,SLACKS CK(LOGANLEA RD)AL      ,05-12-2010 12:09:51,      2.17,L,Below Minor,Rising        ,        8.5,Loganlea Road Bridge                    ,B,  153.1475,  -27.6475                                                                                                                                                                                                                   
    540092,         0,YANDINA ALERT                 ,05-12-2010 12:43:42,      1.68,L,Below Minor,Rising        ,           ,                                        , ,  152.9389,  -26.5628                                                                                                                                                                                                                   
    540093,         0,EUMUNDI ALERT                 ,05-12-2010 12:38:15,      2.02,L,Below Minor,Falling       ,           ,                                        , ,  152.9608,  -26.4944                                                                                                                                                                                                                   
    540094,         0,PICNIC POINT ALERT            ,05-12-2010 12:44:22,       .08,L,Below Minor,Falling       ,           ,                                        , ,  153.0825,  -26.6444                                                                                                                                                                                                                   
    540095,         0,DUNETHIN ROCK ALERT           ,05-12-2010 12:00:09,        .8,L,Below Minor,Falling       ,           ,                                        , ,  153.0092,  -26.5758                                                                                                                                                                                                                   
    540107,         0,GOLD CK RESERVOIR ALERT       ,05-12-2010 12:04:57,     92.97,L,Unknown    ,Steady        ,      92.75,                                        ,F,  152.8831,  -27.4667                                                                                                                                                                                                                   
    540111,         0,MITCHELTON(OSBORNE RD)AL      ,05-12-2010 03:18:58,     28.59,L,Below Minor,              ,           ,                                        , ,  152.9775,  -27.4047                                                                                                                                                                                                                   
    540113,         0,ASPLEY(STRINGYBARK DR)AL      ,05-12-2010 12:33:22,     26.94,L,Below Minor,Falling       ,           ,                                        , ,  153.0039,  -27.3714                                                                                                                                                                                                                   
    540116,         0,ITHACA ALERT                  ,05-12-2010 12:07:37,     12.07,L,Below Minor,Steady        ,           ,                                        , ,  152.9922,  -27.4506                                                                                                                                                                                                                   
    540118,         0,KELVIN GROVE ALERT            ,05-12-2010 12:26:03,       2.1,L,Below Minor,Falling       ,           ,                                        , ,  153.0044,  -27.4369                                                                                                                                                                                                                   
    540119,         0,ENOGGERA DAM ALERT            ,05-12-2010 11:55:57,     74.43,L,Below Minor,Steady        ,      74.37,                                        ,F,  152.9264,  -27.4469                                                                                                                                                                                                                   
    540120,         0,GEEBUNG ALERT                 ,05-12-2010 12:40:34,      3.93,L,Below Minor,Falling       ,           ,                                        , ,  153.0578,  -27.3839                                                                                                                                                                                                                   
    540121,         0,EVERTON HILLS ALERT           ,05-12-2010 12:25:39,     41.86,L,Below Minor,Falling       ,           ,                                        , ,  152.9783,  -27.3822                                                                                                                                                                                                                   
    540122,         0,ZILLMERE(PINEAPPLE ST)AL      ,05-12-2010 10:53:37,      9.38,L,Below Minor,Rising        ,           ,                                        , ,  153.0308,  -27.3544                                                                                                                                                                                                                   
    540124,         0,DEAGON ALERT                  ,05-12-2010 12:40:15,       .23,L,Below Minor,Falling       ,           ,                                        , ,  153.0575,  -27.3358                                                                                                                                                                                                                   
    540126,         0,MANSFIELD ALERT               ,05-12-2010 12:03:30,      7.89,L,Below Minor,Falling       ,           ,                                        , ,   153.105,    -27.53                                                                                                                                                                                                                   
    540127,         0,WISHART(GREENWOOD ST) AL      ,05-12-2010 12:20:22,      19.7,L,Below Minor,Falling       ,           ,                                        , ,  153.1031,  -27.5617                                                                                                                                                                                                                   
    540128,         0,CARINDALE ALERT               ,05-12-2010 12:43:07,      4.13,L,Below Minor,Falling       ,           ,                                        , ,  153.1044,  -27.5028                                                                                                                                                                                                                   
    540129,         0,HEMMANT ALERT                 ,05-12-2010 11:37:48,       .69,L,Below Minor,              ,           ,                                        , ,   153.125,  -27.4503                                                                                                                                                                                                                   
    540130,         0,BOWEN HILLS ALERT             ,05-12-2010 12:31:22,       .44,L,Below Minor,Falling       ,           ,                                        , ,  153.0328,  -27.4436                                                                                                                                                                                                                   
