# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 05-12-2010 12:45:41                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     33292,         0,MYUNA ALERT                   ,05-12-2010 11:47:36,       3.7,L,Below Minor,Rising        ,           ,                                        , ,  147.5981,  -20.5819                                                                                                                                                                                                                   
     33299,         0,SARICH'S ALERT                ,05-12-2010 11:46:46,      2.99,L,Below Minor,Steady        ,           ,                                        , ,  148.8203,  -21.2725                                                                                                                                                                                                                   
     33300,         0,DUMBLETON ROCKS ALERT         ,05-12-2010 12:27:35,      14.9,L,Below Minor,Steady        ,         16,Pioneer River Causeway                  ,F,  149.0753,  -21.1439                                                                                                                                                                                                                   
     33301,         0,WHITEFORD'S ALERT             ,05-12-2010 12:21:11,      2.19,L,Below Minor,Falling       ,           ,                                        , ,   148.835,  -21.3228                                                                                                                                                                                                                   
     33302,         0,MIRANI WEIR ALERT             ,05-12-2010 12:12:30,      2.66,L,Below Minor,Steady        ,           ,                                        , ,  148.8311,  -21.1772                                                                                                                                                                                                                   
     33303,         0,MACKAY ALERT                  ,05-12-2010 12:43:02,       4.7,L,Below Minor,Falling       ,        9.6,Forgan-Smith Bridge                     ,B,  149.1883,  -21.1397                                                                                                                                                                                                                   
     33304,         0,GARGETT ALERT                 ,05-12-2010 11:51:13,       2.2,L,Below Minor,Falling       ,       18.2,Frank Neilsen Br                        ,B,  148.7458,  -21.1792                                                                                                                                                                                                                   
     33305,         0,OUTER HARBOUR TIDE ALERT      ,05-12-2010 12:42:49,      4.41,L,Unknown    ,Falling       ,           ,                                        , ,  149.2239,  -21.1083                                                                                                                                                                                                                   
     33310,         0,SOUTH YAAMBA TM               ,05-12-2010 11:00:00,     6.234,L,Below Minor,Steady        ,           ,                                        , ,  150.3978,     -23.2                                                                                                                                                                                                                   
     34029,         0,BURDEKIN DAM                  ,05-12-2010 09:00:00,      1.54,L,Below Minor,Rising Slowly ,          0,Burdekin Dam Causeway                   ,S,  147.1333,  -20.6333                                                                                                                                                                                                                   
     34097,         0,BURDEKIN DAM ALERT            ,05-12-2010 12:31:33,      1.52,L,Below Minor,Steady        ,          0,Spillway                                ,S,  147.1372,  -20.6467                                                                                                                                                                                                                   
     35115,         0,TAROOM                        ,05-12-2010 09:00:00,      7.08,L,Major      ,Rising Slowly ,        6.7,WH Copeland Bridge (Leichhardt Highway) ,A,  149.7947,  -25.6408                                                                                                                                                                                                                   
     35187,         0,VALERIA AL                    ,05-12-2010 12:39:25,      5.35,L,Below Minor,Falling       ,          4,Theresa Creek bridge.                   ,B,  147.8947,  -23.1856                                                                                                                                                                                                                   
     35227,         0,KARAMEA                       ,05-12-2010 09:00:00,       9.8,L,Major      ,Rising Fast   ,           ,                                        , ,  149.7703,    -24.52                                                                                                                                                                                                                   
     35251,         0,CRAIGMORE AL                  ,05-12-2010 11:49:51,     10.21,L,Minor      ,Steady        ,           ,                                        , ,  147.7569,  -23.8847                                                                                                                                                                                                                   
     35269,         0,YAKCAM                        ,05-12-2010 09:00:00,      19.7,L,Moderate   ,Rising        ,           ,                                        , ,    148.66,    -23.47                                                                                                                                                                                                                   
     35270,         0,NEWLANDS                      ,05-12-2010 09:00:00,      7.85,L,Minor      ,Rising        ,          4,Don River Causeway (Duaringa-Biloela Rd),C,   149.845,  -23.9114                                                                                                                                                                                                                   
     35271,         0,TARANA CROSSING               ,05-12-2010 09:00:00,     11.95,L,Moderate   ,Rising Slowly ,         .7,Tarana Crossing (Dawson River)          ,X,  149.5594,  -25.7983                                                                                                                                                                                                                   
     35273,         0,CHILGERRIE HILL               ,04-12-2010 18:00:00,      7.85,L,Moderate   ,Rising Slowly ,           ,                                        , ,  149.7919,  -25.8544                                                                                                                                                                                                                   
     35276,         0,SPRINGSURE CREEK JUNCTION AL  ,05-12-2010 11:33:23,      10.8,L,Unknown    ,Falling       ,           ,                                        , ,  148.5036,  -23.8564                                                                                                                                                                                                                   
     35282,         0,TAROOM TM                     ,05-12-2010 11:00:00,     7.102,L,Major      ,Steady        ,        6.7,WH Copeland Bridge (Leichhardt Highway) ,A,  149.7833,  -25.6333                                                                                                                                                                                                                   
     36013,         0,CAMOOLA PARK                  ,04-12-2010 16:00:00,       2.3,L,Minor      ,Falling Slowly,         .4,Thomson River Crossing                  ,X,  144.5194,  -23.0394                                                                                                                                                                                                                   
     36026,         0,ISISFORD                      ,05-12-2010 12:00:00,      5.59,L,Moderate   ,Rising        ,          4,Barcoo River Bridge                     ,B,  144.4406,  -24.2591                                                                                                                                                                                                                   
     36083,         0,ALBRO                         ,05-12-2010 08:30:00,       4.6,L,Minor      ,Falling       ,        .01,                                        ,X,  146.5694,  -22.7044                                                                                                                                                                                                                   
     36104,         0,OMA                           ,04-12-2010 18:00:00,      5.31,L,Moderate   ,Falling Slowly,        1.5,                                        ,B,  144.3028,  -24.2875                                                                                                                                                                                                                   
     36161,         0,LONGREACH TM                  ,05-12-2010 11:00:00,     2.611,L,Below Minor,Steady        ,        3.5,Thomson River Bridge (Landsborough Hwy) ,O,  144.2333,  -23.4167                                                                                                                                                                                                                   
     36169,         0,COOLAGH                       ,05-12-2010 08:00:00,       5.2,L,Moderate   ,Rising        ,           ,                                        , ,  144.8694,  -24.0417                                                                                                                                                                                                                   
     38015,         0,MONKIRA                       ,05-12-2010 07:21:00,      3.45,L,Minor      ,Rising Slowly ,        2.9,Monkira causeway                        ,C,  140.5558,  -24.8217                                                                                                                                                                                                                   
     38034,         0,GLENLOCK                      ,05-12-2010 05:30:00,       5.5,L,Moderate   ,Falling Slowly,          0,Barcoo River Crossing                   ,X,  143.7417,  -24.9333                                                                                                                                                                                                                   
     38037,         0,JUNDAH                        ,05-12-2010 07:00:00,      4.15,L,Moderate   ,Falling Slowly,       3.35,Thomson River Bridge                    ,A,    143.05,  -24.8361                                                                                                                                                                                                                   
     38038,         0,WINDORAH                      ,05-12-2010 06:00:00,      5.62,L,Major      ,Rising Slowly ,        4.3,Diamantina Development Road             ,A,  142.7383,  -25.3683                                                                                                                                                                                                                   
     39044,         0,RIVERSLEA TM                  ,05-12-2010 11:00:00,    15.717,L,Minor      ,Rising        ,          3,Fitzroy River Bridge                    ,B,  149.9542,  -23.5694                                                                                                                                                                                                                   
     39143,         0,BARALABA                      ,05-12-2010 09:00:00,       7.4,L,Minor      ,Rising        ,        4.4,Dawson River Bridge                     ,B,    149.81,  -24.1817                                                                                                                                                                                                                   
     39193,         0,MT LAWLESS TM                 ,05-12-2010 11:00:00,      .855,L,Below Minor,Steady        ,        6.1,Burnett River Bridge?                   ,B,   151.655,   -25.545                                                                                                                                                                                                                   
     39264,         0,ROCKHAMPTON                   ,05-12-2010 09:21:00,       5.3,L,Below Minor,Rising Slowly ,           ,                                        , ,  150.5144,  -23.3831                                                                                                                                                                                                                   
     39315,         0,THEODORE                      ,05-12-2010 10:00:00,      8.15,L,Minor      ,Rising        ,           ,                                        , ,  150.0717,  -24.9517                                                                                                                                                                                                                   
     39318,         0,CERATODUS TM                  ,05-12-2010 11:00:00,     1.149,L,Below Minor,Steady        ,           ,                                        , ,    151.15,  -25.2833                                                                                                                                                                                                                   
     39319,         0,ABERCORN TM                   ,05-12-2010 08:00:00,     1.839,L,Below Minor,Rising        ,           ,                                        , ,  151.1297,  -25.1303                                                                                                                                                                                                                   
     39321,         0,EIDSVOLD TM                   ,05-12-2010 11:00:00,      .725,L,Below Minor,Steady        ,           ,                                        , ,     151.1,     -25.4                                                                                                                                                                                                                   
     39323,         0,GAYNDAH FLUME TM              ,05-12-2010 11:00:00,      .623,L,Below Minor,Steady        ,           ,                                        , ,    151.61,  -25.6217                                                                                                                                                                                                                   
     39324,         0,MARRIAGES TM                  ,05-12-2010 12:00:00,      .599,L,Below Minor,Steady        ,           ,                                        , ,   151.185,  -25.5483                                                                                                                                                                                                                   
     40416,         0,CLEARVIEW TM                  ,05-12-2010 08:30:00,     2.045,L,Below Minor,Rising        ,           ,                                        , ,  153.3083,  -28.0017                                                                                                                                                                                                                   
     40679,         0,BAUPLE EAST TM                ,05-12-2010 10:00:00,      .676,L,Below Minor,Steady        ,          3,Missing's Bridge                        ,B,  152.7211,  -25.8222                                                                                                                                                                                                                   
     40690,         0,BRISBANE CITY TM              ,05-12-2010 11:40:00,      .831,L,Below Minor,Falling       ,           ,                                        , ,    153.03,  -27.4733                                                                                                                                                                                                                   
     40705,         0,CHURCHILL STREET TM           ,05-12-2010 08:21:14,     2.617,L,Below Minor,Falling       ,           ,                                        , ,  152.7069,  -25.5347                                                                                                                                                                                                                   
     40714,         0,ROUND MOUNTAIN TM             ,05-12-2010 11:30:00,     3.176,L,Below Minor,Rising        ,         13,Williams Br (Mt Lindesay Hwy, Laravale) ,B,  152.9272,  -28.0708                                                                                                                                                                                                                   
     40716,         0,LAIDLEY                       ,05-12-2010 07:00:00,       6.9,L,Moderate   ,Falling Slowly,        8.5,Campbell Bridge                         ,B,  152.3808,  -27.6514                                                                                                                                                                                                                   
     40719,         0,NEW BEITH TM                  ,05-12-2010 08:00:00,     1.113,L,Below Minor,Steady        ,           ,                                        , ,  152.9483,    -27.73                                                                                                                                                                                                                   
     40738,         0,BROMFLEET TM                  ,05-12-2010 08:10:00,     1.344,L,Below Minor,Rising        ,       16.8,Mundoolun Br (Beaudesert-Beenleigh Rd)  ,B,  153.1056,  -27.9114                                                                                                                                                                                                                   
     40754,         0,RATHDOWNEY TM                 ,05-12-2010 11:00:00,     3.036,L,Minor      ,Steady        ,           ,                                        , ,  152.8681,  -28.2153                                                                                                                                                                                                                   
     40761,         0,WOLFFDENE ALERT               ,05-12-2010 12:44:45,      1.39,L,Below Minor,Falling       ,           ,                                        , ,  153.1889,  -27.7828                                                                                                                                                                                                                   
     40762,         0,YARRAHAPPINI TM               ,05-12-2010 10:54:00,     2.463,L,Below Minor,Steady        ,       17.4,Paynes Bridge                           ,B,  152.9878,  -27.8336                                                                                                                                                                                                                   
     40763,         0,WIVENHOE DAM                  ,05-12-2010 09:00:00,     67.06,L,Unknown    ,Rising Slowly ,         67,                                        ,F,  152.6097,   -27.395                                                                                                                                                                                                                   
     40778,         0,ZACHARIAH TM                  ,05-12-2010 11:00:00,     1.564,L,Below Minor,Rising        ,           ,                                        , ,  152.6283,  -26.3583                                                                                                                                                                                                                   
     40780,         0,HYGAIT TM                     ,05-12-2010 10:00:00,      .683,L,Below Minor,Steady        ,           ,                                        , ,  152.6483,  -26.3817                                                                                                                                                                                                                   
     40781,         0,DAGUN POCKET TM               ,05-12-2010 08:30:00,     3.104,L,Below Minor,Rising        ,           ,                                        , ,   152.695,  -26.3083                                                                                                                                                                                                                   
     40782,         0,COORAN TM                     ,05-12-2010 11:24:00,     2.297,L,Below Minor,Steady        ,           ,                                        , ,  152.8136,  -26.3297                                                                                                                                                                                                                   
     40789,         0,DURACK KING AVE ALERT         ,05-12-2010 11:38:48,      5.26,L,Below Minor,Steady        ,           ,                                        , ,  152.9886,  -27.5875                                                                                                                                                                                                                   
     40791,         0,COOPERS PLAINS ALERT          ,05-12-2010 12:34:21,      5.39,L,Below Minor,Falling       ,           ,                                        , ,  153.0269,   -27.565                                                                                                                                                                                                                   
     40795,         0,OPOSSUM ALERT                 ,05-12-2010 10:16:25,     19.85,L,Below Minor,Falling       ,           ,                                        , ,  152.8942,  -27.6439                                                                                                                                                                                                                   
     40796,         0,BEATTY ROAD ALERT             ,05-12-2010 03:11:50,       2.8,L,Below Minor,Steady        ,           ,                                        , ,  153.0094,  -27.5875                                                                                                                                                                                                                   
     40811,         0,KILKIVAN TM                   ,05-12-2010 08:00:00,       .15,L,Below Minor,Steady        ,           ,                                        , ,  152.2167,  -26.0833                                                                                                                                                                                                                   
     40812,         0,MOGGILL ALERT                 ,05-12-2010 12:38:27,      1.42,L,Below Minor,Falling       ,           ,                                        , ,  152.8578,  -27.5861                                                                                                                                                                                                                   
     40814,         0,MOY POCKET TM                 ,05-12-2010 11:10:00,     4.713,L,Below Minor,Falling       ,           ,                                        , ,  152.7428,  -26.5256                                                                                                                                                                                                                   
     40817,         0,RIFLE RANGE ROAD TM           ,05-12-2010 08:00:00,     1.978,L,Below Minor,Steady        ,           ,                                        , ,  152.5333,  -27.4667                                                                                                                                                                                                                   
     40822,         0,GREGOR CREEK TM               ,05-12-2010 10:00:00,     1.235,L,Below Minor,Steady        ,           ,                                        , ,  152.3997,  -26.9997                                                                                                                                                                                                                   
     40823,         0,ROSENTRETERS BRIDGE TM        ,05-12-2010 11:00:00,      1.35,L,Below Minor,Steady        ,           ,                                        , ,  152.3294,  -27.1381                                                                                                                                                                                                                   
     40824,         0,FISHERMANS POCKET TM          ,05-12-2010 08:00:00,     2.425,L,Below Minor,Steady        ,           ,                                        , ,  152.5994,  -26.1711                                                                                                                                                                                                                   
     40826,         0,MIVA TM                       ,05-12-2010 11:00:00,     2.523,L,Below Minor,Steady        ,         22,Mary River Bridge                       ,B,     152.5,    -25.95                                                                                                                                                                                                                   
     40829,         0,HELIDON TM                    ,05-12-2010 08:00:00,     1.391,L,Below Minor,Steady        ,           ,                                        , ,  152.1133,  -27.5439                                                                                                                                                                                                                   
     40830,         0,BELLBIRD CREEK TM             ,05-12-2010 11:02:00,     1.831,L,Below Minor,Steady        ,           ,                                        , ,  152.7042,  -26.6278                                                                                                                                                                                                                   
     40831,         0,IPSWICH ALERT                 ,05-12-2010 12:44:00,       2.2,L,Below Minor,Falling       ,      24.88,David Trumpy Bridge                     ,B,  152.7611,  -27.6117                                                                                                                                                                                                                   
     40832,         0,FOREST HOME TM                ,05-12-2010 11:04:00,     1.925,L,Below Minor,Rising        ,        3.8,Addis Bridge                            ,B,    152.77,  -28.2033                                                                                                                                                                                                                   
     40833,         0,HOME PARK TM                  ,05-12-2010 11:00:00,     2.224,L,Below Minor,Rising        ,           ,                                        , ,   152.525,  -25.7683                                                                                                                                                                                                                   
